 Customer Name ;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22
GH; 1.125.000 ; 410.000 ; 960.000 ; 650.000 ; 855.000 ; 690.000 ; 605.000 ; 1.055.000 ; 1.120.000 ;;; 1.460.000 ; 1.240.000 ; - ; 885.000 ; - ; - ; 333.000 ; - ; - ; 800.000 ; - ; - ; 783.750 ; 810.000 ; 160.000 ; 1.125.750 ; - ; 836.000 ; - ; - ; - ; 1.258.750 ; 1.287.250 ; 625.000 ; 1.500.000 ; 1.472.500 ; - ; - ; - ; - ; - ; - 
GI;;;;;;;;; 1.850.000 ; 4.540.000 ; 5.200.000 ;; 1.580.000 ; 1.695.000 ; - ; - ; - ; - ; - ; 550.000 ; 765.000 ; - ; 1.560.000 ; 680.000 ; - ; - ; - ; 1.030.000 ; 1.780.000 ; 570.000 ; - ; 570.000 ; - ; 760.000 ; 1.075.000 ; 1.245.000 ; 650.000 ; 960.000 ; - ; 1.370.150 ; - ; 777.400 ; 679.500 
GJ; 840.000 ;;;; 430.000 ;;;; 385.000 ; 420.000 ; 235.000 ;; - ; 180.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 240.000 ; - ; - ; - ; 155.000 ; - ; - ; 172.050 ; - ; 165.400 ; 16.650 
GK; 1.020.000 ; 2.040.000 ;; 2.040.000 ; 2.040.000 ; 255.000 ; 1.785.000 ; 2.040.000 ;; 2.040.000 ;;; 2.040.000 ; - ; 2.040.000 ; - ; - ; - ; - ; 589.000 ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
GL;;;;;;;; 1.210.000 ; 820.000 ; 1.885.000 ; 3.185.000 ; 3.165.000 ;-30.000 ; 780.000 ; 655.000 ; 1.591.250 ; 570.000 ; 1.491.500 ; 570.000 ; 2.023.000 ; 2.422.500 ; 740.000 ; 1.285.250 ; 925.750 ; 1.565.000 ; 935.000 ; 1.961.750 ; 1.244.500 ; 1.648.250 ; 3.139.750 ; - ; 2.237.250 ; 985.000 ; 988.000 ; 812.250 ; 870.000 ; 1.596.000 ; - ; 812.250 ; 1.292.350 ; 738.530 ; 1.305.023 ; 785.603 
GM;;;;;;;;; 3.100.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GN;; 3.060.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GO; 825.000 ; 645.000 ; 540.000 ; 180.000 ; 180.000 ;; 360.000 ;; 180.000 ;;; 510.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP;;;;;;;;;; 3.305.000 ;;; 550.000 ; 775.000 ; 670.000 ; 617.500 ; - ; - ; 2.585.000 ; 1.735.000 ; 997.500 ; 1.010.000 ; 1.547.750 ; 1.897.500 ; 975.000 ; 980.000 ; - ; 1.047.250 ; 1.472.500 ; 2.854.750 ; - ; - ; 1.730.500 ; 1.225.500 ; 1.435.000 ; 1.065.000 ; 1.845.000 ; - ; 510.000 ; 570.000 ; 897.150 ; 825.850 ; 487.300 
GQ;;;;;;;; 595.000 ; 680.000 ; 350.000 ; 510.000 ; 785.000 ; 265.000 ; 945.000 ; - ; - ; - ; 251.750 ; 350.000 ; 1.600.000 ; 180.000 ; 645.000 ; 350.000 ; 805.000 ; 325.000 ; 1.065.000 ; 1.896.750 ; 1.284.500 ; 2.146.000 ; 978.500 ; - ; 350.000 ; 3.394.500 ; 2.565.000 ; - ; 510.000 ; 1.570.000 ; - ; - ; - ; 5.129.865 ; 527.250 ; 1.028.138 
GR; 475.000 ; 410.000 ;;;;;;;;;;; - ; - ; - ; - ; - ; - ; 3.215.000 ; 570.000 ; 740.000 ; 740.000 ; 910.000 ; - ; - ; 370.000 ; 370.000 ; 1.377.500 ; 570.000 ; 370.000 ; - ; - ; - ; - ; - ; 370.000 ;;;;;;;
GS;; 410.000 ; 410.000 ; 760.000 ; 410.000 ; 800.000 ; 600.000 ; 865.000 ; 1.285.000 ; 665.000 ; 1.085.000 ; 1.395.000 ; 1.035.000 ; 740.000 ; - ; - ; - ; 513.000 ; 513.000 ; - ; 295.000 ; 295.000 ; 265.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 285.000 ; - ; - ; - ;;;;;;;
GT;;;;;;;;;;; 1.490.000 ;; 7.810.000 ; 8.255.500 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
