 Customer Name ;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22
JN;;;;;;;;;;;;; 740.000 ; 740.000 ;;;; 1.073.000 ;; 1.270.000 ; 1.850.000 ; 484.500 ; 1.705.250 ; 1.445.000 ; 910.000 ; - ; 1.919.000 ; 1.665.000 ; 1.580.000 ; 2.439.250 ; - ; 1.492.250 ; 877.250 ; 622.250 ; 910.000 ; 541.500 ;;;;;;;
JO;;;;;;;;;;;;;;;;;;;; 622.250 ;;;;;;;;;;;;;;;;;;;;;;;
JP;;;;;;;;;;;;;;;;;;;;;;; 340.000 ; 255.000 ; 255.000 ; 170.000 ; - ; 170.000 ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
JQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 658.000 ;;;;;;;;;;;;
JR;;;;;;;;;;;;;;;;;;;; 665.000 ;;; 810.000 ;; - ; - ; 622.250 ; 1.282.500 ; 180.000 ; 295.000 ; - ; - ; 280.000 ; 180.000 ; - ; 315.000 ; - ; - ; - ; - ; 832.500 ; 326.350 ; - 
JS;;;;;;;;;;;;;;;;;;;;; 700.000 ; 969.000 ; 595.000 ;; - ; - ; - ; - ; - ; 435.000 ; - ; 255.000 ; - ; - ; - ; - ;;;;;;;
JT;;;;;;;;;;;;;;;;;;; 210.000 ;; 200.000 ;;;; - ; 255.000 ; - ; - ; 425.000 ; - ; 180.000 ; 180.000 ; 860.000 ; - ; 180.000 ; 255.000 ; - ; 180.000 ; - ; 293.050 ; - ; - ; - 
JU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.422.000 ;;; 778.010 ; 558.570 ; 659.633 ; 2.433.845 
JV;;;;;;;;;;;;;;;;;;;;;; 1.360.000 ; - ; 636.500 ; 670.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
JW;;;;;;;;;;;;;;;;;;;; 484.500 ; 255.000 ; 85.000 ; 85.000 ;; 340.000 ; 680.000 ; 650.250 ; 1.674.500 ; 765.000 ; 765.000 ; - ; - ; 1.075.250 ; 1.330.250 ; 831.250 ; - ;;;;;;;
JX;;;;;;;;;;;;;;; 1.920.000 ;; 1.173.250 ; 1.059.250 ; 494.000 ; 980.000 ;;;;;;;;;;;;;;;;;;;;;;;
JY;;;;;;;;;;;;;; 800.000 ;;;; 210.000 ; 410.000 ; 674.500 ; 265.000 ; 570.000 ;;;;;;;;;;;;;;;;;;;;;
JZ;;;;;;;;;;;;;;;;;;;;;; 200.000 ;;;;;;;;;;;;;;;;;;;;;
K; 585.000 ;;; 570.000 ;;; 405.000 ; 350.000 ;; 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.480.000 ; 410.000 ; 188.700 ; 699.300 ; 482.850 
KB;;;;;;;;;;;;;;;;;;; 110.000 ;;;;;;;;;;;;;;;;;;;;;;;;
KC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 342.500 ;;;;;;;
KD;;;;;;;;;;;;;;;;;;;;;;;; 400.000 ; 410.000 ; - ; 1.160.000 ; 3.020.000 ; 4.104.500 ; 3.249.000 ; 1.330.000 ; 2.275.250 ; 2.194.500 ; - ; - ; - ;;;;;;;
KE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 6.009.091 ; 1.845.454 ; 491.736 ;;;;;;;;;;
KF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 636.500 ; 365.000 ; 726.750 ; - ; 365.000 ; - ; - ; - ; - 
KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.195.000 ;;;; - ; - ; - ; 285.000 ; - ; - ; - 
KH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 10.073.251 
KI;;;;;;;;;;;;;;;;;;;;;;;; 575.000 ;;;;;;;;;;;;;;;;;;;
KJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 2.730.000 ;; 3.434.500 ; 2.820.000 ; 1.000.000 ; 2.200.000 ; 5.730.000 ; - ; - ; 2.420.078 ; 3.488.508 
KK;;;;;;;;;;;;;;;;;;;;;;;;;;;; 2.525.000 ; 1.048.000 ; 2.480.000 ;;; 1.622.000 ; 888.250 ; 489.250 ;;;;;;;;
KL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 600.000 ;; 600.000 ;; 600.000 ;;
KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 912.000 ;;; 600.000 ; - ; 265.000 ; 846.400 ; - ; 276.400 ; - 
KN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.539.000 ; 475.000 ;;;; 870.000 ; - ; - ; - ; - ; 532.800 ; - 
KO;;;;;;;;;;;;;;;;;;; 600.000 ;;;; 1.002.250 ;;;;;;;;;;;;;;;;;;;;
KP;;;;;;;;;;;;;;;;;;;;;;;; 1.985.500 ; 2.935.000 ; - ; 2.308.500 ; 798.000 ; 2.508.000 ; 2.137.500 ; - ; - ; 1.190.000 ; 3.517.000 ; 3.344.000 ; 5.598.600 ; - ; 2.261.000 ; 1.767.000 ; 2.969.900 ; 4.920.360 ; 1.896.390 ; 5.609.940 
KQ;;;;;;;;;;;;;;;;;;;; 1.400.000 ;;;;;;;;;;;;;;;;;;;;;;;
KR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 285.000 ;;;;;;;;;;;;
KS;;;;;;;;;;;;;;;;;;; 895.000 ;;;;;;;;;;;;;;;;;;;;;;;;
KT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 541.500 ; 650.250 ;; 510.000 ;; 200.000 ; 200.000 ;;;;;;;
KU;;;;;;;;;;;;; 1.005.000 ; 170.000 ;;;;;;;;;;; - ; - ; - ; - ; - ; - ; - ; 1.005.000 ; 195.000 ; - ; - ; - ;;;;;;;
KV;;;;;;;;;;;;;;;;;; 1.385.000 ; 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;
KW;;;;;;;;;;;;;;;;;;;;; 285.000 ;;;; - ; - ; 703.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
KX;;;;;;;;;;;;;;;;;;;;;;;;; 1.190.000 ; 170.000 ;;;;;;;;;;;;;;;;;
KY;;;;;;;;;;;;;;;;;;;; 7.185.000 ; 4.847.000 ; 4.440.000 ;;; 5.190.000 ; - ; 555.750 ; - ; 1.933.250 ; 2.641.000 ; 73.136 ; - ; 4.409.800 ; - ; 2.470.000 ; 3.385.000 ; 214.400 ; 1.737.100 ; 2.929.800 ; 2.099.700 ; - ; 1.798.200 ; 3.383.800 
KZ;;;;;;;;;;;;;;;;;;;;;;; 1.000.000 ; 2.680.000 ; - ; - ; 655.000 ; 669.750 ; 2.612.500 ; 717.250 ; - ; 1.130.000 ; 731.500 ; 2.792.500 ; 1.040.750 ; 2.881.750 ; 1.406.000 ; 2.693.250 ; 1.725.750 ; 4.621.750 ; 1.814.165 ; 3.267.475 ; 4.228.268 
L;; 265.000 ;;;;;; 265.000 ;;; 180.000 ;;;;;;;;;;;;;; - ; - ; - ; - ; - ; - ; - ; - ; - ; 210.000 ; 390.000 ; 210.000 ; 465.000 ; - ; 200.000 ; - ; - ; - ; - 
LA;;;;;;;;;;;;;;; 170.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LB;;;;;;;;;;;;;;;;;;;;;;;;;; 510.000 ; 2.170.750 ; 6.121.500 ; 2.422.500 ; 3.481.750 ; 969.000 ; 5.179.500 ; 4.350.500 ; 5.595.000 ; 2.194.500 ; 3.955.000 ; 6.615.250 ; 6.206.500 ; 12.355.500 ; 4.571.258 ; 9.058.155 ; 4.504.935 ; 3.902.483 
LC;;;;;;;;;;;;;;;;;;;;; 3.084.750 ; 760.000 ;; 1.200.000 ;;;;;;;;;;;;; - ; - ; 200.000 ; - ; - ; - ; - 
LD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 486.650 ;; 350.000 ; 350.000 ; 510.000 ; - ; 515.000 ; - ; - ; - ; - ; - 
LE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 200.000 ;; 170.000 ;;;;;;;;;;;
LF;;;;;;;;;;;;;;;;;;; 420.000 ; 410.000 ;; 541.500 ;;; - ; - ; 541.500 ; - ; 570.000 ; 685.000 ; - ; 900.550 ; - ; 1.273.000 ; 1.280.000 ; - ; 1.453.500 ; - ; 1.163.750 ; - ; - ; - ; - 
LG;;;;;;;;;;;;;;;;;;;;;;;;; 3.000.000 ;;;;;;;;;;;;;;;;;;
LH;;;;;;;;;;;;;;;;;;;;;;;;;;;; 210.000 ;;;;;;;;;;;;;;;
LI;;;;;;;;;;;;;;;;;; 1.675.250 ; 285.000 ;;;;;;;;;;;;;;;;;;;;;;;;
LJ;;;;;;;;;;;;;;;;;; 340.000 ;;;; 508.250 ;;;;;;;;;;;;;;;;;;;;;
LK;;;;;;;;;;;;;;;;;;;;;;; 145.000 ;;;;;;;;;;;;;;;;;;;;
LM;;;;;;;;;;;;;;;;;;;;;;;; 530.000 ; 975.000 ; 530.000 ; 2.150.000 ; - ; 330.000 ; - ; - ; 603.250 ; - ; - ; - ; - ;;;;;;;
LN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.828.750 ;;;;;;
LO;;;;;;;;;;;;;;;;;; 5.295.000 ; 2.792.500 ; 1.480.000 ;; 1.730.000 ; 1.007.000 ; 1.838.250 ; - ; 1.480.000 ; 1.396.500 ; - ; 1.928.500 ; 1.672.000 ; - ; - ; 997.500 ; 855.000 ; 500.000 ; - ; 1.083.000 ; - ; - ; - ; - ; - ; - 
LP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 680.000 ;; 2.940.000 ;-580.000 ; - ; - ; 1.221.200 ; 671.550 ; - ; 743.700 
LQ;;;;;;;;;;;;;;;;;;;;;;; 1.463.000 ;; - ; 1.340.000 ; - ; - ; - ; - ; - ; - ; 2.730.000 ; - ; 1.845.000 ; - ; 2.505.000 ; - ; - ; 566.100 ; - ; 1.447.450 ; 1.714.950 
LR;;;;;;;;;;;;; 480.000 ;; 600.000 ;;;;;; 800.000 ;;;; 800.000 ; - ; - ; - ; - ; - ; - ; 210.000 ; 410.000 ; - ; - ; - ; 210.000 ; - ; 410.000 ; - ; - ; 309.700 ; - 
LS;;;;;;;;;;;;;;;;;;;;; 440.000 ;; 370.000 ; 255.000 ; 255.000 ; 485.000 ; - ; - ; - ; 195.000 ; - ; - ; - ; 517.750 ; - ; - ;;;;;;;
LT;;;;;;;;;;;;;;;;;;;;;; 14.278.750 ; 653.975 ;;;;;;;;;;;;;;;;;;;;
LU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 210.000 ;;;;;;;;;
LV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 180.000 ;; 2.125.000 ; 565.250 ; 565.250 ; 850.000 ; 850.000 ; 510.000 ; - ; 1.544.150 ; 985.958 ; - ; 566.100 
LW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 85.000 ;;;;;;
LX;;;;;;;;;;;;;;;;;;;; 370.000 ;;;;; - ; - ; - ; - ; - ; - ; - ; 1.370.000 ; - ; - ; - ; 1.800.000 ; - ; 770.000 ; - ; - ; - ; - ; - 
LY;;;;;;;;;;;;;;; 340.000 ;-170.000 ; 161.500 ; 161.500 ;;; 969.000 ;;;; - ; - ; - ; - ; - ; - ; - ; - ; 180.000 ; - ; - ; - ;;;;;;;
LZ;;;;;;;;;;;;;;;;;;;;;;;;;; 1.200.000 ; 3.800.000 ; 4.180.000 ; 7.630.000 ; 11.140.000 ;; 5.270.000 ; 12.540.000 ; 6.510.000 ;;; - ; - ; 6.122.750 ; 9.212.901 ; 1.742.457 ; 14.646.003 ; 5.522.472 
M;;;;;;;;;;; 765.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MA;;;;;;;;;;;;;;;;;;;;;; 1.516.750 ; 726.750 ;;;;;;;;;;;;;;;;;;;;
MB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 950.000 ; 1.726.000 ; 1.600.250 ; 485.000 ;; - ; 365.000 ; 400.000 ; 1.000.000 ; 299.700 ; 299.700 ; 917.970 
MC;;;;;;;;;;;;;;;;;;;; 5.070.001 ; 2.250.001 ; 4.140.000 ;; 2.250.000 ; 2.700.000 ; 2.700.000 ; - ; 2.700.000 ; - ; - ; - ; 5.400.000 ; - ; 3.240.000 ; 100.000 ; 3.078.000 ; 3.240.000 ; - ; - ; - ; - ; - ; - 
MD;;;;;;;;;;;;;;;;;;;; 2.535.001 ; 1.800.000 ; 2.250.000 ; 2.520.000 ; 2.520.000 ; 2.520.000 ; 2.520.000 ; 2.700.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
N;; 1.235.000 ;;; 340.000 ; 130.000 ; 95.000 ; 170.000 ; 180.000 ; 100.000 ; 95.000 ;; 2.320.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
O;; 3.200.000 ;; 1.000.000 ;; 1.200.000 ; 2.485.000 ; 6.685.000 ; 2.295.000 ; 1.110.000 ; 2.677.500 ; 3.150.000 ; 1.985.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
P;;;;;;;;; 1.335.000 ;; 1.020.000 ; 1.310.000 ; 800.000 ; 200.000 ; 400.000 ; - ; 400.000 ; 1.400.000 ; - ; 200.000 ; - ; 400.000 ; 1.000.000 ; - ; 400.000 ; - ; - ; - ; - ; - ; - ; 166.000 ; - ; - ; - ; - ;;;;;;;
Q;;;;;;;;;; 8.505.000 ;;; - ; 1.000.000 ; - ; - ; - ; - ; - ; 1.600.000 ; - ; - ; 2.660.000 ; - ; - ; - ; 1.900.000 ; - ; - ; - ; - ; - ; 950.000 ; - ; - ; 950.000 ; - ; 1.194.000 ; - ; - ; - ; - ; - 
R;;;;;;;;; 2.040.000 ; 1.020.000 ;;; - ; - ; 11.628.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 28.000.000 ; - ; - ; - ; - ; - ; - ; - ;-21.000.000 ; - ;-7.000.000 ; - ; - ; - ; - ; - ; - 
S;;;;; 1.615.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;;;; 595.000 ;;;;;;;;; - ; 120.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
U;;;;;;;; 37.451.000 ; 975.000 ;;; 1.210.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;;;;; 1.020.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;;;;;;;;; 755.000 ; 410.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X; 4.005.000 ; 2.355.000 ; 1.660.000 ; 2.360.000 ; 2.390.000 ; 3.170.000 ; 1.605.000 ; 795.000 ; 765.000 ; 775.000 ; 11.180.000 ; 510.000 ; 1.190.000 ; 1.275.000 ; - ; - ; - ; - ; 1.560.000 ; 1.100.000 ; - ; 875.000 ; 675.000 ; 1.360.000 ; 1.450.000 ; 1.570.000 ; 2.405.000 ; 10.500.000 ; 2.005.000 ; 1.870.000 ; - ; 1.640.000 ; 1.270.000 ; 2.040.000 ; 1.895.000 ; 1.165.000 ; 1.780.000 ; 1.185.000 ; 2.955.000 ; 705.000 ; 2.040.402 ; 1.627.270 ; 1.610.610 
Y;; 1.100.000 ;;;;; 1.100.000 ;; 750.000 ;;;; - ; 185.000 ; 410.000 ; - ; 342.000 ; - ; 525.000 ; - ; 800.000 ; - ; 360.000 ; - ; - ; - ; - ; 360.000 ; - ; 878.750 ; - ; - ; 185.000 ; 360.000 ; - ; 410.000 ; - ; 525.000 ; - ; - ; - ; - ; - 
Z; 600.000 ;;; 600.000 ;;; 600.000 ; - ; 600.000 ;; 600.000 ;; 600.000 ; - ; 600.000 ; - ; 570.000 ; - ; - ; 410.000 ; - ; 200.000 ; 210.000 ; 200.000 ; 200.000 ; - ; 1.000.000 ; - ; - ; 400.000 ; - ; 400.000 ; - ; 400.000 ; - ; 400.000 ; 703.000 ; - ; 905.000 ; 138.750 ; 400.000 ; 449.550 ; 749.250 
