ds;country;polygon_source;polygon_id;polygon_name;changeofmovement;stayput;baseline_name;baseline_type;;provinsi
Apr-20;IDN;GADM;IDN.9.13_1;Karawang;-0.262411333;0.218424;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.10.12_1;Kebumen;-0.306879667;0.267728;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.10_1;Kediri;-0.245710667;0.242820333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.13_1;Kendal;-0.211797;0.210528333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.7.6_1;Kepulauan Seribu;-0.329842;0.309629667;full_february;DAY_OF_WEEK;;Jakarta Raya
Apr-20;IDN;GADM;IDN.10.14_1;Klaten;-0.277579667;0.216164667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.9.14_1;Kota Bandung;-0.418481333;0.338331333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.9.15_1;Kota Bekasi;-0.430249667;0.336019667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.11_1;Kota Blitar;-0.288957667;0.243344333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.9.16_1;Kota Bogor;-0.399307333;0.306653333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.9.17_1;Kota Cirebon;-0.268657333;0.243655;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.12_1;Kota Kediri;-0.295955;0.246734;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.13_1;Kota Madiun;-0.327048;0.246264667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.15_1;Kota Magelang;-0.328170667;0.240015;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.14_1;Kota Malang;-0.340584;0.298524667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.15_1;Kota Mojokerto;-0.269918667;0.230174333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.16_1;Kota Pasuruan;-0.259139667;0.247062333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.16_1;Kota Pekalongan;-0.246458333;0.223823667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.17_1;Kota Probolinggo;-0.26476;0.236823333;full_february;DAY_OF_WEEK;;Jawa Timur
